epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82914,3.71769,4.32605,4.21401,0.00061,0.05469,0.00033,6e-05,3.48604,3.93163,4.03087,0.0702609,0.00330435,0.00330435
2,10.4634,3.57307,3.84947,3.89205,0.08291,0.05859,0.03157,0.00812,3.04732,3.45852,3.72816,0.040239,0.00661578,0.00661578
3,15.033,3.2171,3.35492,3.43678,0.09239,0.16211,0.04815,0.01134,2.92772,3.09623,3.73895,0.0101951,0.00990521,0.00990521
4,19.5612,3.03771,3.21812,3.20704,0.16031,0.12891,0.07501,0.02141,2.74123,4.08476,3.33099,0.009901,0.009901,0.009901
5,24.1324,2.81623,3.06835,3.01775,0.15419,0.22253,0.11485,0.03252,2.55975,7.96657,2.90605,0.009868,0.009868,0.009868
6,28.6529,2.72276,2.89099,2.86452,0.20642,0.21484,0.1217,0.04017,2.44347,2.55564,2.76453,0.009835,0.009835,0.009835
7,33.1942,2.63518,2.83722,2.77757,0.10426,0.16602,0.0618,0.01983,2.4229,2.7106,2.7003,0.009802,0.009802,0.009802
8,37.7345,2.5957,2.77668,2.68484,0.13847,0.19336,0.09988,0.0291,2.46141,2.66451,2.68902,0.009769,0.009769,0.009769
9,42.2818,2.56331,2.72805,2.67436,0.2406,0.25391,0.16949,0.05667,2.29557,2.58395,2.55202,0.009736,0.009736,0.009736
10,46.8138,2.49669,2.7075,2.61338,0.05888,0.06836,0.02556,0.00814,2.76399,3.36634,3.21927,0.009703,0.009703,0.009703
11,51.3384,2.47294,2.64952,2.58456,0.19788,0.20312,0.13856,0.0485,2.29352,2.46653,2.56519,0.00967,0.00967,0.00967
12,55.8723,2.49678,2.61537,2.57372,0.2504,0.32817,0.20702,0.0679,2.26072,2.20841,2.50573,0.009637,0.009637,0.009637
13,60.4008,2.4456,2.59639,2.5319,0.24717,0.26953,0.18576,0.06489,2.20375,2.26564,2.45594,0.009604,0.009604,0.009604
14,64.9407,2.44318,2.58871,2.51772,0.19216,0.25781,0.13933,0.04453,2.24171,2.36765,2.479,0.009571,0.009571,0.009571
15,69.5004,2.41138,2.60311,2.52304,0.24026,0.30664,0.19812,0.0597,2.16469,2.57174,2.41799,0.009538,0.009538,0.009538
16,74.0391,2.39371,2.5632,2.46856,0.1718,0.22852,0.14965,0.04391,2.3302,2.4175,2.53085,0.009505,0.009505,0.009505
17,78.5753,2.39935,2.52534,2.4913,0.20102,0.11133,0.09537,0.02523,2.57724,2.75944,2.7664,0.009472,0.009472,0.009472
18,83.1143,2.39365,2.47837,2.47735,0.17669,0.20508,0.10926,0.03371,2.31462,2.77654,2.49818,0.009439,0.009439,0.009439
19,87.6808,2.36225,2.4562,2.45744,0.19969,0.11914,0.06379,0.01774,2.60635,3.98796,2.8035,0.009406,0.009406,0.009406
20,92.2057,2.32213,2.44266,2.43175,0.28196,0.35126,0.22813,0.0739,2.20051,2.20734,2.43214,0.009373,0.009373,0.009373
21,96.747,2.32327,2.40026,2.44004,0.36413,0.31055,0.26196,0.0909,2.16959,2.3549,2.42306,0.00934,0.00934,0.00934
22,101.298,2.35354,2.38244,2.43478,0.28291,0.32363,0.21977,0.07551,2.22571,2.27121,2.44341,0.009307,0.009307,0.009307
23,105.84,2.30873,2.42203,2.46259,0.20935,0.27344,0.15831,0.04643,2.28714,2.40831,2.46909,0.009274,0.009274,0.009274
24,110.361,2.30609,2.40663,2.40906,0.33298,0.33203,0.26845,0.09289,2.14867,2.17765,2.3662,0.009241,0.009241,0.009241
